    1   0.000000    10.0.2.15 → 192.168.1.254 DNS 102 Standard query 0xb528 A connectivity-check.ubuntu.com OPT
    2   0.012962 192.168.1.254 → 10.0.2.15    DNS 294 Standard query response 0xb528 A connectivity-check.ubuntu.com A 91.189.91.98 A 185.125.190.98 A 185.125.190.18 A 91.189.91.96 A 185.125.190.48 A 91.189.91.97 A 185.125.190.17 A 185.125.190.97 A 91.189.91.48 A 91.189.91.49 A 185.125.190.49 A 185.125.190.96 OPT
    3   0.013941    10.0.2.15 → 185.125.190.96 TCP 76 41508 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2530475140 TSecr=0 WS=128
    4   0.126535 185.125.190.96 → 10.0.2.15    TCP 62 80 → 41508 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460
    5   0.126567    10.0.2.15 → 185.125.190.96 TCP 56 41508 → 80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
    6   0.123996    10.0.2.15 → 185.125.190.96 HTTP 143 GET / HTTP/1.1 
    7   0.127341 185.125.190.96 → 10.0.2.15    TCP 62 80 → 41508 [ACK] Seq=1 Ack=88 Win=65535 Len=0
    8   0.243005 185.125.190.96 → 10.0.2.15    HTTP 241 HTTP/1.1 204 No Content 
    9   0.243018    10.0.2.15 → 185.125.190.96 TCP 56 41508 → 80 [ACK] Seq=88 Ack=186 Win=64055 Len=0
   10   0.243109 185.125.190.96 → 10.0.2.15    TCP 62 80 → 41508 [FIN, ACK] Seq=186 Ack=88 Win=65535 Len=0
   11   0.243574    10.0.2.15 → 185.125.190.96 TCP 56 41508 → 80 [FIN, ACK] Seq=88 Ack=187 Win=64055 Len=0
   12   0.244018 185.125.190.96 → 10.0.2.15    TCP 62 80 → 41508 [ACK] Seq=187 Ack=89 Win=65535 Len=0
   13   3.643902    127.0.0.1 → 127.0.0.53   DNS 88 Standard query 0xd68f A mozilla.cloudflare-dns.com
   14   3.643902   127.0.0.53 → 127.0.0.1    DNS 120 Standard query response 0xd68f A mozilla.cloudflare-dns.com A 172.64.41.4 A 162.159.61.4
   15   3.643902    127.0.0.1 → 127.0.0.53   DNS 88 Standard query 0xd68f AAAA mozilla.cloudflare-dns.com
   16   3.643902   127.0.0.53 → 127.0.0.1    DNS 144 Standard query response 0xd68f AAAA mozilla.cloudflare-dns.com AAAA 2803:f800:53::4 AAAA 2a06:98c1:52::4
   17   3.643902    10.0.2.15 → 172.64.41.4  UDP 1296 37041 → 443 Len=1252
   18   3.643902    10.0.2.15 → 172.64.41.4  UDP 1296 37041 → 443 Len=1252
   19   3.682482  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 37041 Len=1200
   20   3.684730  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 37041 Len=1200
   21   3.685302  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 37041 Len=1200
   22   3.685308  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 37041 Len=1200
   23   3.685309  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 37041 Len=1200
   24   3.685309  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 37041 Len=1200
   25   3.685310  172.64.41.4 → 10.0.2.15    UDP 957 443 → 37041 Len=913
   26   3.687976    10.0.2.15 → 172.64.41.4  UDP 99 37041 → 443 Len=55
   27   3.696118    10.0.2.15 → 172.64.41.4  UDP 193 37041 → 443 Len=149
   28   3.696511    10.0.2.15 → 172.64.41.4  UDP 124 37041 → 443 Len=80
   29   3.697443    10.0.2.15 → 172.64.41.4  UDP 504 37041 → 443 Len=460
   30   3.708672  172.64.41.4 → 10.0.2.15    UDP 580 443 → 37041 Len=536
   31   3.708682  172.64.41.4 → 10.0.2.15    UDP 71 443 → 37041 Len=27
   32   3.708683  172.64.41.4 → 10.0.2.15    UDP 71 443 → 37041 Len=27
   33   3.708684  172.64.41.4 → 10.0.2.15    UDP 96 443 → 37041 Len=52
   34   3.708685  172.64.41.4 → 10.0.2.15    UDP 70 443 → 37041 Len=26
   35   3.709170    10.0.2.15 → 172.64.41.4  UDP 89 37041 → 443 Len=45
   36   3.710419  172.64.41.4 → 10.0.2.15    UDP 71 443 → 37041 Len=27
   37   3.712429  172.64.41.4 → 10.0.2.15    UDP 668 443 → 37041 Len=624
   38   3.712485  172.64.41.4 → 10.0.2.15    UDP 632 443 → 37041 Len=588
   39   3.707900    10.0.2.15 → 172.64.41.4  UDP 87 37041 → 443 Len=43
   40   3.721165  172.64.41.4 → 10.0.2.15    UDP 70 443 → 37041 Len=26
