    1   0.000000    10.0.2.15 → 45.83.223.196 TCP 76 54634 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=564959095 TSecr=0 WS=128
    2   0.127635 45.83.223.196 → 10.0.2.15    TCP 62 443 → 54634 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460
    3   0.127727    10.0.2.15 → 45.83.223.196 TCP 56 54634 → 443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
    4   0.123997    10.0.2.15 → 45.83.223.196 TLSv1 387 Client Hello
    5   0.128462 45.83.223.196 → 10.0.2.15    TCP 62 443 → 54634 [ACK] Seq=1 Ack=332 Win=65535 Len=0
    6   0.251627 45.83.223.196 → 10.0.2.15    TLSv1.3 2904 Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data
    7   0.251642    10.0.2.15 → 45.83.223.196 TCP 56 54634 → 443 [ACK] Seq=332 Ack=2849 Win=63360 Len=0
    8   0.251993    10.0.2.15 → 45.83.223.196 TLSv1.3 144 Change Cipher Spec, Application Data
    9   0.253241 45.83.223.196 → 10.0.2.15    TCP 62 443 → 54634 [ACK] Seq=2849 Ack=420 Win=65535 Len=0
   10   0.253253    10.0.2.15 → 45.83.223.196 TLSv1.3 225 Application Data
   11   0.253851 45.83.223.196 → 10.0.2.15    TCP 62 443 → 54634 [ACK] Seq=2849 Ack=589 Win=65535 Len=0
   12   0.375369 45.83.223.196 → 10.0.2.15    TLSv1.3 135 Application Data
   13   0.376649 45.83.223.196 → 10.0.2.15    TLSv1.3 416 Application Data, Application Data
   14   0.371990    10.0.2.15 → 45.83.223.196 TCP 56 54634 → 443 [ACK] Seq=589 Ack=3288 Win=63360 Len=0
   15   2.390562    127.0.0.1 → 127.0.0.53   DNS 88 Standard query 0x80cd A mozilla.cloudflare-dns.com
   16   2.390651   127.0.0.53 → 127.0.0.1    DNS 120 Standard query response 0x80cd A mozilla.cloudflare-dns.com A 172.64.41.4 A 162.159.61.4
   17   2.390663    127.0.0.1 → 127.0.0.53   DNS 88 Standard query 0x80cd AAAA mozilla.cloudflare-dns.com
   18   2.390679   127.0.0.53 → 127.0.0.1    DNS 144 Standard query response 0x80cd AAAA mozilla.cloudflare-dns.com AAAA 2803:f800:53::4 AAAA 2a06:98c1:52::4
   19   2.387937    10.0.2.15 → 172.64.41.4  UDP 1296 48530 → 443 Len=1252
   20   2.387937    10.0.2.15 → 172.64.41.4  UDP 1296 48530 → 443 Len=1252
   21   2.403720  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 48530 Len=1200
   22   2.405513  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 48530 Len=1200
   23   2.405561  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 48530 Len=1200
   24   2.405565  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 48530 Len=1200
   25   2.405565  172.64.41.4 → 10.0.2.15    UDP 1244 443 → 48530 Len=1200
   26   2.405566  172.64.41.4 → 10.0.2.15    UDP 963 443 → 48530 Len=919
   27   2.387937    10.0.2.15 → 172.64.41.4  UDP 98 48530 → 443 Len=54
   28   2.387937    10.0.2.15 → 172.64.41.4  UDP 193 48530 → 443 Len=149
   29   2.387937    10.0.2.15 → 172.64.41.4  UDP 120 48530 → 443 Len=76
   30   2.387937    10.0.2.15 → 172.64.41.4  UDP 504 48530 → 443 Len=460
   31   2.412337    10.0.2.15 → 172.64.41.4  UDP 659 48530 → 443 Len=615
   32   2.416161    10.0.2.15 → 172.64.41.4  UDP 659 48530 → 443 Len=615
   33   2.420787  172.64.41.4 → 10.0.2.15    UDP 580 443 → 48530 Len=536
   34   2.420795  172.64.41.4 → 10.0.2.15    UDP 71 443 → 48530 Len=27
   35   2.420796  172.64.41.4 → 10.0.2.15    UDP 71 443 → 48530 Len=27
   36   2.420796  172.64.41.4 → 10.0.2.15    UDP 96 443 → 48530 Len=52
   37   2.420797  172.64.41.4 → 10.0.2.15    UDP 70 443 → 48530 Len=26
   38   2.421266    10.0.2.15 → 172.64.41.4  UDP 572 48530 → 443 Len=528
   39   2.423484  172.64.41.4 → 10.0.2.15    UDP 71 443 → 48530 Len=27
   40   2.425357  172.64.41.4 → 10.0.2.15    UDP 668 443 → 48530 Len=624
   41   2.425620    10.0.2.15 → 172.64.41.4  UDP 87 48530 → 443 Len=43
   42   2.426656  172.64.41.4 → 10.0.2.15    UDP 632 443 → 48530 Len=588
   43   2.427054    10.0.2.15 → 172.64.41.4  UDP 87 48530 → 443 Len=43
   44   2.430342  172.64.41.4 → 10.0.2.15    UDP 72 443 → 48530 Len=28
