    1   0.000000 10.128.27.116 → 185.125.190.56 NTP 92 NTP Version 4, client
    2   0.000000    10.0.2.15 → 185.195.233.76 WireGuard 156 Transport Data, receiver=0x4284655F, counter=78, datalen=80
    3   0.161350 185.195.233.76 → 10.0.2.15    WireGuard 156 Transport Data, receiver=0x2E2F3ABD, counter=144, datalen=80
    4   0.161992 185.125.190.56 → 10.128.27.116 NTP 92 NTP Version 4, server
    5   1.947960 PcsCompu_ed:ac:df →              ARP 44 Who has 10.0.2.2? Tell 10.0.2.15
    6   1.950324 52:55:0a:00:02:02 →              ARP 66 10.0.2.2 is at 52:55:0a:00:02:02
    7   2.559921 10.128.27.116 → 10.64.0.1    DNS 78 Standard query 0xab2d A www.utdallas.edu
    8   2.559921 10.128.27.116 → 10.64.0.1    DNS 78 Standard query 0xab2d AAAA www.utdallas.edu
    9   2.559921    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=79, datalen=64
   10   2.559921    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=80, datalen=64
   11   2.697485 185.195.233.76 → 10.0.2.15    WireGuard 300 Transport Data, receiver=0x2E2F3ABD, counter=145, datalen=224
   12   2.697519 185.195.233.76 → 10.0.2.15    WireGuard 348 Transport Data, receiver=0x2E2F3ABD, counter=146, datalen=272
   13   2.695912    10.64.0.1 → 10.128.27.116 DNS 235 Standard query response 0xab2d A www.utdallas.edu CNAME www.utdallas.edu.c14751.campuspress.com CNAME cloudflare-resolve-to.c14751.campuspress.com CNAME utdallas.us-east-2.lb.campuspress.com A 3.21.250.42 A 3.133.32.155
   14   2.695912    10.64.0.1 → 10.128.27.116 DNS 285 Standard query response 0xab2d AAAA www.utdallas.edu CNAME www.utdallas.edu.c14751.campuspress.com CNAME cloudflare-resolve-to.c14751.campuspress.com CNAME utdallas.us-east-2.lb.campuspress.com SOA ns-1262.awsdns-29.org
   15   2.695912 10.128.27.116 → 3.21.250.42  TCP 76 47440 → 443 [SYN] Seq=0 Win=64320 Len=0 MSS=1340 SACK_PERM=1 TSval=563211926 TSecr=0 WS=128
   16   2.695912    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=81, datalen=64
   17   2.947145 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x2E2F3ABD, counter=147, datalen=64
   18   2.943896  3.21.250.42 → 10.128.27.116 TCP 76 443 → 47440 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1340 SACK_PERM=1 TSval=4261288262 TSecr=563211926 WS=512
   19   2.943896 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=1 Ack=1 Win=64384 Len=0 TSval=563212174 TSecr=4261288262
   20   2.943896    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=82, datalen=64
   21   2.943896 10.128.27.116 → 3.21.250.42  TLSv1 585 Client Hello
   22   2.943896    10.0.2.15 → 185.195.233.76 WireGuard 652 Transport Data, receiver=0x4284655F, counter=83, datalen=576
   23   3.191581 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x2E2F3ABD, counter=148, datalen=64
   24   3.191873  3.21.250.42 → 10.128.27.116 TCP 68 443 → 47440 [ACK] Seq=1 Ack=518 Win=28160 Len=0 TSval=4261288514 TSecr=563212174
   25   3.193391 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=149, datalen=1380
   26   3.193447 185.195.233.76 → 10.0.2.15    WireGuard 1356 Transport Data, receiver=0x2E2F3ABD, counter=150, datalen=1280
   27   3.191880  3.21.250.42 → 10.128.27.116 TLSv1.3 1396 Server Hello, Change Cipher Spec, Application Data
   28   3.191880 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=518 Ack=1329 Win=64256 Len=0 TSval=563212422 TSecr=4261288514
   29   3.191880  3.21.250.42 → 10.128.27.116 TLSv1.3 1289 Application Data, Application Data, Application Data
   30   3.191880 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=518 Ack=2550 Win=63488 Len=0 TSval=563212422 TSecr=4261288514
   31   3.191880    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=84, datalen=64
   32   3.191880    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=85, datalen=64
   33   3.191880 10.128.27.116 → 3.21.250.42  TLSv1.3 148 Change Cipher Spec, Application Data
   34   3.191880 10.128.27.116 → 3.21.250.42  TLSv1.3 163 Application Data, Application Data
   35   3.191880    10.0.2.15 → 185.195.233.76 WireGuard 220 Transport Data, receiver=0x4284655F, counter=86, datalen=144
   36   3.191880    10.0.2.15 → 185.195.233.76 WireGuard 236 Transport Data, receiver=0x4284655F, counter=87, datalen=160
   37   3.195425 10.128.27.116 → 3.21.250.42  TLSv1.3 166 Application Data, Application Data
   38   3.191880    10.0.2.15 → 185.195.233.76 WireGuard 236 Transport Data, receiver=0x4284655F, counter=88, datalen=160
   39   3.446491 185.195.233.76 → 10.0.2.15    WireGuard 220 Transport Data, receiver=0x2E2F3ABD, counter=151, datalen=144
   40   3.443864  3.21.250.42 → 10.128.27.116 TLSv1.3 147 Application Data
   41   3.447239 185.195.233.76 → 10.0.2.15    WireGuard 284 Transport Data, receiver=0x2E2F3ABD, counter=152, datalen=208
   42   3.447250 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x2E2F3ABD, counter=153, datalen=64
   43   3.447384  3.21.250.42 → 10.128.27.116 TLSv1.3 209 Application Data, Application Data
   44   3.447436  3.21.250.42 → 10.128.27.116 TCP 68 443 → 47440 [ACK] Seq=2770 Ack=791 Win=28160 Len=0 TSval=4261288763 TSecr=563212422
   45   3.443864 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=791 Ack=2770 Win=64256 Len=0 TSval=563212674 TSecr=4261288762
   46   3.443864 10.128.27.116 → 3.21.250.42  TLSv1.3 99 Application Data
   47   3.443864    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x4284655F, counter=89, datalen=64
   48   3.443864    10.0.2.15 → 185.195.233.76 WireGuard 172 Transport Data, receiver=0x4284655F, counter=90, datalen=96
   49   3.448493 185.195.233.76 → 10.0.2.15    WireGuard 524 Transport Data, receiver=0x2E2F3ABD, counter=154, datalen=448
   50   3.443864  3.21.250.42 → 10.128.27.116 TLSv1.3 453 Application Data
   51   3.452103 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=155, datalen=1380
   52   3.452204 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x2E2F3ABD, counter=156, datalen=1380
   53   3.452460  3.21.250.42 → 10.128.27.116 TCP 1396 [TCP segment of a reassembled PDU]
   54   3.452479 10.128.27.116 → 3.21.250.42  TCP 68 47440 → 443 [ACK] Seq=822 Ack=4483 Win=64256 Len=0 TSval=563212683 TSecr=4261288765
