    1   0.000000 10.128.27.116 → 212.129.62.232 TCP 76 47942 → 443 [SYN] Seq=0 Win=64320 Len=0 MSS=1340 SACK_PERM=1 TSval=3832602374 TSecr=0 WS=128
    2  -0.003313    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=129, datalen=64
    3   0.244703 10.128.27.116 → 10.64.0.1    ICMP 86 Echo (ping) request  id=0x8f66, seq=90/23040, ttl=64
    4   0.240693    10.0.2.15 → 185.195.233.76 WireGuard 156 Transport Data, receiver=0x7A5D3F48, counter=130, datalen=80
    5   0.387800 185.195.233.76 → 10.0.2.15    WireGuard 156 Transport Data, receiver=0x89F5A600, counter=304, datalen=80
    6   0.387930    10.64.0.1 → 10.128.27.116 ICMP 86 Echo (ping) reply    id=0x8f66, seq=90/23040, ttl=64 (request in 3)
    7   3.604772 10.128.27.116 → 10.64.0.1    DNS 73 Standard query 0x7b67 A www.cmu.edu
    8   3.604772 10.128.27.116 → 10.64.0.1    DNS 73 Standard query 0x7b67 AAAA www.cmu.edu
    9   3.604772    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=131, datalen=64
   10   3.604772    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=132, datalen=64
   11   3.750131 185.195.233.76 → 10.0.2.15    WireGuard 316 Transport Data, receiver=0x89F5A600, counter=305, datalen=240
   12   3.748775    10.64.0.1 → 10.128.27.116 DNS 251 Standard query response 0x7b67 A www.cmu.edu CNAME WWW.R53.cmu.edu A 128.2.42.52 NS ns-1554.awsdns-02.co.uk NS ns-352.awsdns-44.com NS ns-579.awsdns-08.net NS ns-1178.awsdns-19.org
   13   3.751172 185.195.233.76 → 10.0.2.15    WireGuard 236 Transport Data, receiver=0x89F5A600, counter=306, datalen=160
   14   3.748775    10.64.0.1 → 10.128.27.116 DNS 176 Standard query response 0x7b67 AAAA www.cmu.edu CNAME WWW.R53.cmu.edu SOA ns-352.awsdns-44.com
